COUNTYNAME,Active Firefighters - Career,Active Firefighters - Volunteer,Active Firefighters - Paid per Call,2020_num_inmates,inmate_capacity
Alameda,1693,93,35,0.0,0.0
Alpine,16,90,0,0.0,0.0
Amador,56,89,66,65.0,80.0
Butte,419,68,179,0.0,0.0
Calaveras,55,339,52,48.0,114.0
Colusa,177,232,0,47.0,120.0
Contra Costa,1121,170,193,0.0,0.0
Del Norte,6,42,46,39.0,100.0
El Dorado,489,219,1,72.0,120.0
Fresno,839,202,205,48.0,80.0
Glenn,162,183,1,47.0,120.0
Humboldt,548,486,12,91.0,220.0
Imperial,122,59,111,0.0,0.0
Inyo,85,142,124,56.0,120.0
Kern,870,58,38,0.0,0.0
Kings,218,91,17,0.0,0.0
Lake,86,95,41,50.0,100.0
Lassen,125,193,0,95.0,200.0
Los Angeles,9385,443,137,262.0,680.0
Madera,119,80,94,0.0,0.0
Marin,569,245,71,0.0,0.0
Mariposa,8,88,17,50.0,100.0
Mendocino,157,441,74,94.0,200.0
Merced,255,144,241,0.0,0.0
Modoc,2,200,10,45.0,100.0
Mono,108,184,135,56.0,120.0
Monterey,665,284,295,44.0,120.0
Napa,243,287,111,0.0,0.0
Nevada,164,89,81,41.0,100.0
Orange,2834,312,53,0.0,0.0
Placer,531,136,104,41.0,100.0
Plumas,262,204,27,0.0,0.0
Riverside,3831,493,295,166.0,475.0
Sacramento,5358,115,202,0.0,0.0
San Benito,26,25,25,0.0,0.0
San Bernardino,2016,134,398,124.0,320.0
San Diego,3360,285,73,134.0,420.0
San Francisco,1742,0,36,0.0,0.0
San Joaquin,592,196,125,0.0,0.0
San Luis Obispo,357,12,431,70.0,100.0
San Mateo,729,92,44,0.0,0.0
Santa Barbara,625,39,32,0.0,0.0
Santa Clara,1874,205,40,0.0,0.0
Santa Cruz,323,160,141,50.0,100.0
Shasta,386,500,46,5.0,100.0
Sierra,45,118,0,0.0,0.0
Siskiyou,26,314,133,41.0,80.0
Solano,569,317,68,50.0,120.0
Sonoma,592,965,218,0.0,0.0
Stanislaus,383,436,33,0.0,0.0
Sutter,120,55,0,0.0,0.0
Tehama,142,140,104,99.0,220.0
Trinity,33,142,0,46.0,120.0
Tulare,615,91,1093,91.0,180.0
Tuolumne,73,116,39,56.0,120.0
Ventura,708,105,0,7.0,100.0
Yolo,247,230,96,0.0,0.0
Yuba,81,133,28,0.0,0.0
