,county,inmate_num,non_inmate_num,month,2020
0,Alameda,-0.0,0.0,1,0
1,Alpine,-0.0,0.0,1,0
2,Amador,0.0,0.0,1,0
3,Butte,-0.0,0.0,1,0
4,Calaveras,0.0,0.0,1,0
5,Colusa,0.0,0.0,1,0
6,Contra Costa,-0.0,0.0,1,0
7,Del Norte,0.0,0.0,1,0
8,El Dorado,0.0,0.0,1,0
9,Fresno,40.0,-0.0,1,0
10,Glenn,0.0,0.0,1,0
11,Humboldt,122.0,-0.0,1,0
12,Imperial,-0.0,0.0,1,0
13,Inyo,0.0,0.0,1,0
14,Kern,-0.0,0.0,1,0
15,Kings,-0.0,0.0,1,0
16,Lake,81.0,-0.0,1,0
17,Lassen,0.0,0.0,1,0
18,Los Angeles,163.0,-0.0,1,0
19,Madera,-0.0,0.0,1,0
20,Marin,-0.0,0.0,1,0
21,Mariposa,0.0,0.0,1,0
22,Mendocino,0.0,0.0,1,0
23,Merced,-0.0,0.0,1,0
24,Modoc,0.0,0.0,1,0
25,Mono,0.0,0.0,1,0
26,Monterey,0.0,0.0,1,0
27,Napa,-0.0,0.0,1,0
28,Nevada,0.0,0.0,1,0
29,Orange,-0.0,0.0,1,0
30,Placer,81.0,-0.0,1,0
31,Plumas,-0.0,0.0,1,0
32,Riverside,81.0,-0.0,1,0
33,Sacramento,-0.0,0.0,1,0
34,San Benito,-0.0,0.0,1,0
35,San Bernardino,122.0,-0.0,1,0
36,San Diego,0.0,0.0,1,0
37,San Joaquin,-0.0,0.0,1,0
38,San Luis Obispo,0.0,0.0,1,0
39,San Mateo,-0.0,0.0,1,0
40,Santa Barbara,-0.0,0.0,1,0
41,Santa Clara,-0.0,0.0,1,0
42,Santa Cruz,0.0,0.0,1,0
43,Shasta,0.0,0.0,1,0
44,Sierra,-0.0,0.0,1,0
45,Siskiyou,0.0,0.0,1,0
46,Solano,0.0,0.0,1,0
47,Sonoma,-0.0,0.0,1,0
48,Stanislaus,-0.0,0.0,1,0
49,Sutter,-0.0,0.0,1,0
50,Tehama,122.0,-0.0,1,0
51,Trinity,0.0,0.0,1,0
52,Tulare,0.0,0.0,1,0
53,Tuolumne,0.0,0.0,1,0
54,Ventura,0.0,0.0,1,0
55,Yolo,-0.0,0.0,1,0
56,Yuba,-0.0,0.0,1,0
0,Alameda,-0.0,0.0,1,1
1,Alpine,-0.0,0.0,1,1
2,Amador,0.0,0.0,1,1
3,Butte,-0.0,0.0,1,1
4,Calaveras,0.0,0.0,1,1
5,Colusa,0.0,0.0,1,1
6,Contra Costa,-0.0,0.0,1,1
7,Del Norte,0.0,0.0,1,1
8,El Dorado,0.0,0.0,1,1
9,Fresno,40.0,-0.0,1,1
10,Glenn,0.0,0.0,1,1
11,Humboldt,91.0,31.0,1,1
12,Imperial,-0.0,0.0,1,1
13,Inyo,0.0,0.0,1,1
14,Kern,-0.0,0.0,1,1
15,Kings,-0.0,0.0,1,1
16,Lake,50.0,31.0,1,1
17,Lassen,0.0,0.0,1,1
18,Los Angeles,163.0,-0.0,1,1
19,Madera,-0.0,0.0,1,1
20,Marin,-0.0,0.0,1,1
21,Mariposa,0.0,0.0,1,1
22,Mendocino,0.0,0.0,1,1
23,Merced,-0.0,0.0,1,1
24,Modoc,0.0,0.0,1,1
25,Mono,0.0,0.0,1,1
26,Monterey,0.0,0.0,1,1
27,Napa,-0.0,0.0,1,1
28,Nevada,0.0,0.0,1,1
29,Orange,-0.0,0.0,1,1
30,Placer,41.0,40.0,1,1
31,Plumas,-0.0,0.0,1,1
32,Riverside,81.0,-0.0,1,1
33,Sacramento,-0.0,0.0,1,1
34,San Benito,-0.0,0.0,1,1
35,San Bernardino,122.0,-0.0,1,1
36,San Diego,0.0,0.0,1,1
37,San Joaquin,-0.0,0.0,1,1
38,San Luis Obispo,0.0,0.0,1,1
39,San Mateo,-0.0,0.0,1,1
40,Santa Barbara,-0.0,0.0,1,1
41,Santa Clara,-0.0,0.0,1,1
42,Santa Cruz,0.0,0.0,1,1
43,Shasta,0.0,0.0,1,1
44,Sierra,-0.0,0.0,1,1
45,Siskiyou,0.0,0.0,1,1
46,Solano,0.0,0.0,1,1
47,Sonoma,-0.0,0.0,1,1
48,Stanislaus,-0.0,0.0,1,1
49,Sutter,-0.0,0.0,1,1
50,Tehama,99.0,23.0,1,1
51,Trinity,0.0,0.0,1,1
52,Tulare,0.0,0.0,1,1
53,Tuolumne,0.0,0.0,1,1
54,Ventura,0.0,0.0,1,1
55,Yolo,-0.0,0.0,1,1
56,Yuba,-0.0,0.0,1,1
0,Alameda,-0.0,0.0,2,0
1,Alpine,-0.0,0.0,2,0
2,Amador,0.0,0.0,2,0
3,Butte,-0.0,0.0,2,0
4,Calaveras,0.0,0.0,2,0
5,Colusa,0.0,0.0,2,0
6,Contra Costa,-0.0,0.0,2,0
7,Del Norte,0.0,0.0,2,0
8,El Dorado,0.0,0.0,2,0
9,Fresno,0.0,0.0,2,0
10,Glenn,0.0,0.0,2,0
11,Humboldt,40.0,-0.0,2,0
12,Imperial,-0.0,0.0,2,0
13,Inyo,120.0,85.0,2,0
14,Kern,-0.0,0.0,2,0
15,Kings,-0.0,0.0,2,0
16,Lake,0.0,0.0,2,0
17,Lassen,40.0,-0.0,2,0
18,Los Angeles,0.0,0.0,2,0
19,Madera,-0.0,0.0,2,0
20,Marin,-0.0,0.0,2,0
21,Mariposa,0.0,0.0,2,0
22,Mendocino,0.0,0.0,2,0
23,Merced,-0.0,0.0,2,0
24,Modoc,0.0,0.0,2,0
25,Mono,120.0,2.0,2,0
26,Monterey,40.0,-0.0,2,0
27,Napa,-0.0,81.0,2,0
28,Nevada,0.0,0.0,2,0
29,Orange,-0.0,0.0,2,0
30,Placer,0.0,0.0,2,0
31,Plumas,-0.0,0.0,2,0
32,Riverside,122.0,-0.0,2,0
33,Sacramento,-0.0,0.0,2,0
34,San Benito,-0.0,0.0,2,0
35,San Bernardino,0.0,0.0,2,0
36,San Diego,0.0,0.0,2,0
37,San Joaquin,-0.0,0.0,2,0
38,San Luis Obispo,0.0,0.0,2,0
39,San Mateo,-0.0,0.0,2,0
40,Santa Barbara,-0.0,0.0,2,0
41,Santa Clara,-0.0,0.0,2,0
42,Santa Cruz,0.0,0.0,2,0
43,Shasta,0.0,0.0,2,0
44,Sierra,-0.0,45.0,2,0
45,Siskiyou,40.0,-0.0,2,0
46,Solano,0.0,0.0,2,0
47,Sonoma,-0.0,0.0,2,0
48,Stanislaus,-0.0,0.0,2,0
49,Sutter,-0.0,0.0,2,0
50,Tehama,40.0,-0.0,2,0
51,Trinity,0.0,0.0,2,0
52,Tulare,40.0,-0.0,2,0
53,Tuolumne,0.0,0.0,2,0
54,Ventura,0.0,0.0,2,0
55,Yolo,-0.0,0.0,2,0
56,Yuba,-0.0,0.0,2,0
0,Alameda,-0.0,0.0,2,1
1,Alpine,-0.0,0.0,2,1
2,Amador,0.0,0.0,2,1
3,Butte,-0.0,0.0,2,1
4,Calaveras,0.0,0.0,2,1
5,Colusa,0.0,0.0,2,1
6,Contra Costa,-0.0,0.0,2,1
7,Del Norte,0.0,0.0,2,1
8,El Dorado,0.0,0.0,2,1
9,Fresno,0.0,0.0,2,1
10,Glenn,0.0,0.0,2,1
11,Humboldt,40.0,-0.0,2,1
12,Imperial,-0.0,0.0,2,1
13,Inyo,56.0,85.0,2,1
14,Kern,-0.0,0.0,2,1
15,Kings,-0.0,0.0,2,1
16,Lake,0.0,0.0,2,1
17,Lassen,40.0,-0.0,2,1
18,Los Angeles,0.0,0.0,2,1
19,Madera,-0.0,0.0,2,1
20,Marin,-0.0,0.0,2,1
21,Mariposa,0.0,0.0,2,1
22,Mendocino,0.0,0.0,2,1
23,Merced,-0.0,0.0,2,1
24,Modoc,0.0,0.0,2,1
25,Mono,56.0,66.0,2,1
26,Monterey,40.0,-0.0,2,1
27,Napa,-0.0,81.0,2,1
28,Nevada,0.0,0.0,2,1
29,Orange,-0.0,0.0,2,1
30,Placer,0.0,0.0,2,1
31,Plumas,-0.0,0.0,2,1
32,Riverside,122.0,-0.0,2,1
33,Sacramento,-0.0,0.0,2,1
34,San Benito,-0.0,0.0,2,1
35,San Bernardino,0.0,0.0,2,1
36,San Diego,0.0,0.0,2,1
37,San Joaquin,-0.0,0.0,2,1
38,San Luis Obispo,0.0,0.0,2,1
39,San Mateo,-0.0,0.0,2,1
40,Santa Barbara,-0.0,0.0,2,1
41,Santa Clara,-0.0,0.0,2,1
42,Santa Cruz,0.0,0.0,2,1
43,Shasta,0.0,0.0,2,1
44,Sierra,-0.0,45.0,2,1
45,Siskiyou,40.0,-0.0,2,1
46,Solano,0.0,0.0,2,1
47,Sonoma,-0.0,0.0,2,1
48,Stanislaus,-0.0,0.0,2,1
49,Sutter,-0.0,0.0,2,1
50,Tehama,40.0,-0.0,2,1
51,Trinity,0.0,0.0,2,1
52,Tulare,40.0,-0.0,2,1
53,Tuolumne,0.0,0.0,2,1
54,Ventura,0.0,0.0,2,1
55,Yolo,-0.0,0.0,2,1
56,Yuba,-0.0,0.0,2,1
0,Alameda,-0.0,0.0,3,0
1,Alpine,-0.0,0.0,3,0
2,Amador,0.0,0.0,3,0
3,Butte,-0.0,0.0,3,0
4,Calaveras,0.0,0.0,3,0
5,Colusa,0.0,0.0,3,0
6,Contra Costa,-0.0,0.0,3,0
7,Del Norte,0.0,0.0,3,0
8,El Dorado,0.0,0.0,3,0
9,Fresno,0.0,0.0,3,0
10,Glenn,81.0,-0.0,3,0
11,Humboldt,0.0,0.0,3,0
12,Imperial,-0.0,0.0,3,0
13,Inyo,120.0,2.0,3,0
14,Kern,-0.0,0.0,3,0
15,Kings,-0.0,0.0,3,0
16,Lake,0.0,0.0,3,0
17,Lassen,0.0,0.0,3,0
18,Los Angeles,0.0,0.0,3,0
19,Madera,-0.0,0.0,3,0
20,Marin,-0.0,0.0,3,0
21,Mariposa,0.0,0.0,3,0
22,Mendocino,0.0,0.0,3,0
23,Merced,-0.0,0.0,3,0
24,Modoc,0.0,0.0,3,0
25,Mono,0.0,0.0,3,0
26,Monterey,0.0,0.0,3,0
27,Napa,-0.0,0.0,3,0
28,Nevada,0.0,0.0,3,0
29,Orange,-0.0,0.0,3,0
30,Placer,0.0,0.0,3,0
31,Plumas,-0.0,0.0,3,0
32,Riverside,204.0,-0.0,3,0
33,Sacramento,-0.0,0.0,3,0
34,San Benito,-0.0,0.0,3,0
35,San Bernardino,163.0,-0.0,3,0
36,San Diego,81.0,-0.0,3,0
37,San Joaquin,-0.0,0.0,3,0
38,San Luis Obispo,0.0,0.0,3,0
39,San Mateo,-0.0,0.0,3,0
40,Santa Barbara,-0.0,81.0,3,0
41,Santa Clara,-0.0,0.0,3,0
42,Santa Cruz,0.0,0.0,3,0
43,Shasta,40.0,-0.0,3,0
44,Sierra,-0.0,0.0,3,0
45,Siskiyou,0.0,0.0,3,0
46,Solano,0.0,0.0,3,0
47,Sonoma,-0.0,0.0,3,0
48,Stanislaus,-0.0,0.0,3,0
49,Sutter,-0.0,0.0,3,0
50,Tehama,0.0,0.0,3,0
51,Trinity,0.0,0.0,3,0
52,Tulare,0.0,0.0,3,0
53,Tuolumne,0.0,0.0,3,0
54,Ventura,0.0,0.0,3,0
55,Yolo,-0.0,0.0,3,0
56,Yuba,-0.0,0.0,3,0
0,Alameda,-0.0,0.0,3,1
1,Alpine,-0.0,0.0,3,1
2,Amador,0.0,0.0,3,1
3,Butte,-0.0,0.0,3,1
4,Calaveras,0.0,0.0,3,1
5,Colusa,0.0,0.0,3,1
6,Contra Costa,-0.0,0.0,3,1
7,Del Norte,0.0,0.0,3,1
8,El Dorado,0.0,0.0,3,1
9,Fresno,0.0,0.0,3,1
10,Glenn,47.0,34.0,3,1
11,Humboldt,0.0,0.0,3,1
12,Imperial,-0.0,0.0,3,1
13,Inyo,56.0,66.0,3,1
14,Kern,-0.0,0.0,3,1
15,Kings,-0.0,0.0,3,1
16,Lake,0.0,0.0,3,1
17,Lassen,0.0,0.0,3,1
18,Los Angeles,0.0,0.0,3,1
19,Madera,-0.0,0.0,3,1
20,Marin,-0.0,0.0,3,1
21,Mariposa,0.0,0.0,3,1
22,Mendocino,0.0,0.0,3,1
23,Merced,-0.0,0.0,3,1
24,Modoc,0.0,0.0,3,1
25,Mono,0.0,0.0,3,1
26,Monterey,0.0,0.0,3,1
27,Napa,-0.0,0.0,3,1
28,Nevada,0.0,0.0,3,1
29,Orange,-0.0,0.0,3,1
30,Placer,0.0,0.0,3,1
31,Plumas,-0.0,0.0,3,1
32,Riverside,166.0,38.0,3,1
33,Sacramento,-0.0,0.0,3,1
34,San Benito,-0.0,0.0,3,1
35,San Bernardino,124.0,39.0,3,1
36,San Diego,81.0,-0.0,3,1
37,San Joaquin,-0.0,0.0,3,1
38,San Luis Obispo,0.0,0.0,3,1
39,San Mateo,-0.0,0.0,3,1
40,Santa Barbara,-0.0,81.0,3,1
41,Santa Clara,-0.0,0.0,3,1
42,Santa Cruz,0.0,0.0,3,1
43,Shasta,5.0,35.0,3,1
44,Sierra,-0.0,0.0,3,1
45,Siskiyou,0.0,0.0,3,1
46,Solano,0.0,0.0,3,1
47,Sonoma,-0.0,0.0,3,1
48,Stanislaus,-0.0,0.0,3,1
49,Sutter,-0.0,0.0,3,1
50,Tehama,0.0,0.0,3,1
51,Trinity,0.0,0.0,3,1
52,Tulare,0.0,0.0,3,1
53,Tuolumne,0.0,0.0,3,1
54,Ventura,0.0,0.0,3,1
55,Yolo,-0.0,0.0,3,1
56,Yuba,-0.0,0.0,3,1
0,Alameda,-0.0,0.0,4,0
1,Alpine,-0.0,0.0,4,0
2,Amador,0.0,0.0,4,0
3,Butte,-0.0,0.0,4,0
4,Calaveras,0.0,0.0,4,0
5,Colusa,0.0,0.0,4,0
6,Contra Costa,-0.0,40.0,4,0
7,Del Norte,0.0,0.0,4,0
8,El Dorado,0.0,0.0,4,0
9,Fresno,80.0,287.0,4,0
10,Glenn,0.0,0.0,4,0
11,Humboldt,0.0,0.0,4,0
12,Imperial,-0.0,81.0,4,0
13,Inyo,120.0,43.0,4,0
14,Kern,-0.0,245.0,4,0
15,Kings,-0.0,81.0,4,0
16,Lake,0.0,0.0,4,0
17,Lassen,0.0,0.0,4,0
18,Los Angeles,204.0,-0.0,4,0
19,Madera,-0.0,40.0,4,0
20,Marin,-0.0,0.0,4,0
21,Mariposa,0.0,0.0,4,0
22,Mendocino,0.0,0.0,4,0
23,Merced,-0.0,81.0,4,0
24,Modoc,100.0,2.0,4,0
25,Mono,0.0,0.0,4,0
26,Monterey,40.0,-0.0,4,0
27,Napa,-0.0,40.0,4,0
28,Nevada,0.0,0.0,4,0
29,Orange,-0.0,0.0,4,0
30,Placer,0.0,0.0,4,0
31,Plumas,-0.0,122.0,4,0
32,Riverside,475.0,260.0,4,0
