"FDID","Fire dept name","HQ addr1","HQ addr2","HQ city","HQ state","HQ zip","Mail addr1","Mail addr2","Mail PO box","Mail city","Mail state","Mail zip","HQ phone","HQ fax","County","Dept Type","Organization Type","Website","Number Of Stations","Active Firefighters - Career","Active Firefighters - Volunteer","Active Firefighters - Paid per Call","Non-Firefighting - Civilian","Non-Firefighting - Volunteer","Primary agency for emergency mgmt"
"31800","233rd Firefighting Team, CA Army National Guard","850 All America City BLVD",,"Roseville","CA","95678-1594","850 All America City BLVD",,,"Roseville","CA","95678-1564","916-782-8084","916-854-3024","061","Mostly volunteer",,,"1","3","0","18","0","0","No"
"25005","Adin Fire Protection District","108 Center ST",,"Adin","CA","96006",,,"PO Box 16","Adin","CA","96006-0016","530-299-4700","530-299-4700","049","Volunteer",,"https://adinfire.org/","1","0","16","0","0","0","Yes"
"34003","Aerojet Fire Services","HWY 50 and Hazel AVE","PO Box 13222","Sacramento","CA","95813-6000","HWY 50 and Hazel AVE",,"PO Box 13222","Sacramento","CA","95813-6000","916-355-3473","916-355-4767","067","Career",,,"1","15","0","0","0","16",
"","Air Force Plant 42 Fire Department","2501 E Avenue P","","Palmdale","CA","93551","2501 E Avenue P","","PO Box ","Palmdale","CA","93551","661-272-6637","661-272-6635","037","Career",,"","2","52","0","0","0","0",
"01008","Alameda County Fire Department","6363 Clark AVE",,"Dublin","CA","94568-3001","6363 Clark AVE",,,"Dublin","CA","94568-3001","925-833-3473",,"001","Mostly career",,"http://www.acgov.org/fire/","29","350","50","0","92","0","Yes"
"01010","Albany Fire Department","1000 San Pablo AVE",,"Albany","CA","94706-2226","1000 San Pablo AVE",,,"Albany","CA","94706-2226","510-528-5778","510-528-5774","001","Career",,"https://www.albanyca.org/","1","19","0","0","1","0","Yes"
"19005","Alhambra Fire Department","301 N 1ST ST",,"Alhambra","CA","91801-2454","301 N 1ST ST",,,"Alhambra","CA","91801-2454","626-570-5190","626-457-8961","037","Mostly career",,"https://www.cityofalhambra.org/fire/mainar.htm","4","63","16","0","9","35","Yes"
"37005","Alpine Fire Protection District","1364 Tavern RD",,"Alpine","CA","91901-3831","1364 Tavern RD",,,"Alpine","CA","91901-3831","619-445-2635","619-445-2634","073","Career",,"https://www.alpinefire.org/","1","14","0","0","4","0","Yes"
"31005","Alta Fire Protection District","33950 Alta Bonney Nook RD",,"Alta","CA","95701",,,"PO Box 847","Alta","CA","95701-0847","530-389-2676",,"061","Volunteer",,"https://altavolunteerfirefighters.org/","1","0","2","0","2","0","No"
"05005","Altaville Melones Fire Protection District","148 Monte Verde ST",,"Altaville","CA","95221",,,"PO Box 431","Altaville","CA","95221-0431","209-736-4461","209-736-4238","009","Volunteer",,,"1","0","20","6","0","0","Yes"
"25007","Alturas Indian Rancheria OES","901 County RD 56","PO Box 910","Alturas","CA","96101-0910",,,"PO Box 910","Alturas","CA","96101-0910","530-640-0598","530-233-3170","049","Volunteer",,,"1","0","0","10","0","1",
"25015","Alturas Rural Fire Protection District","310 N Rine ST",,"Alturas","CA","96101-3974","310 N Rine ST",,,"Alturas","CA","96101-3974","530-233-3018","530-233-3018","049","Volunteer",,,"1","0","20","0","0","0","No"
"03006","Amador Fire Protection District","810 Court ST",,"Jackson","CA","95642-2132","810 Court ST",,,"Jackson","CA","95642-2132","209-223-6391","209-223-6646","005","Mostly career",,"http://amadorfire.org/","8","33","17","0","4","0","No"
"28020","American Canyon Fire Protection District","911 Donaldson Way E",,"American Canyon","CA","94503-3191","911 Donaldson Way E",,,"American Canyon","CA","94503-3191","707-551-0650","707-642-0201","055","Mostly career",,"http://www.amcanfire.com/","2","20","5","0","2","5","Yes"
"30005","Anaheim Fire & Rescue","201 S Anaheim BLVD STE 300",,"Anaheim","CA","92805-3858","201 S Anaheim BLVD STE 300",,,"Anaheim","CA","92805-3858","714-765-4000","714-765-4008","059","Career",,"https://www.http://anaheim.net/613/Fire-Rescue","11","209","0","0","44","0","Yes"
"45010","Anderson Fire Protection District","1925  Howard ST",,"Anderson","CA","96007","1925  Howard ST",,,"Anderson","CA","96007-3340","530-378-6699","530-378-6697","089","Mostly volunteer",,"https://www.andersonfire.org/","1","6","19","0","1","1","Yes"
"23010","Anderson Valley Fire Department","14281 Highway 128",,"Boonville","CA","95415",,,"PO Box 398","Boonville","CA","95415-0398","707-895-2020","707-895-2239","045","Mostly volunteer",,"https://www.andersonvalleyfire.org/","9","1","35","10","3","0","Yes"
"19565","Angeles National Forest Fire Lookout Association","PO Box 1409",,"Arcadia","CA","91733",,,"PO Box 1409","Arcadia","CA","91077","909-338-3923","818-354-4052","037","Volunteer",,"https://angeleslookouts.org","2","0","90","0","0","0",
"05010","Angels Camp Volunteer Fire Department","1404 Highway 4","PO Box 457","Angels Camp","CA","95222-0457",,,"PO Box 457","Angels Camp","CA","95222-0457","209-736-4081","209-736-9048","009","Volunteer",,,"2","0","17","0","0","12",
"49905","Annapolis Volunteer Fire Department","36303 Annapolis RD",,"Annapolis","CA","95412-9714","36303 Annapolis RD",,,"Annapolis","CA","95412-9714","707-886-5166","707-886-0507","097","Volunteer",,,"1","0","13","0","0","10",
"26015","Antelope Valley Fire District","51 Shop RD",,"Coleville","CA","96107",,,"PO Box 30","Coleville","CA","96107","530-495-2300",,"051","Volunteer",,,"2","0","15","0","0","6",
,"Anza Volunteer Fire Department","56560 Highway 371","PO Box 390132","Anza","CA","92539-0132",,,"PO Box 390132","Anza","CA","92539-0132","951-763-5611","951-763-4414","065","Mostly career",,,"1","6","5","0","0","1",
"36015","Apple Valley Fire Protection District","22400 Headquarters AVE",,"Apple Valley","CA","92307-4304","22400 Headquarters AVE",,,"Apple Valley","CA","92307-4304","760-247-7618","760-247-3895","071","Career",,"https://avfpd.org/","5","45","0","0","6","0","Yes"
"44005","Aptos/ La Selva Fire Protection District","6934 Soquel DR",,"Aptos","CA","95003-3604","6934 Soquel DR",,,"Aptos","CA","95003-3604","831-685-6690","831-685-6699","087","Career",,"https://www.aptosfire.com/","3","35","0","0","4","0","No"
"06005","Arbuckle-College City Fire Protection District","506 Lucas ST",,"Arbuckle","CA","95912",,,"PO Box 727","Arbuckle","CA","95912","530-476-2231","530-476-3031","011","Mostly volunteer",,,"1","3","22","0","1","0",
"19010","Arcadia Fire Department","710 S Santa Anita AVE",,"Arcadia","CA","91006-3535","710 S Santa Anita AVE",,,"Arcadia","CA","91006-3535","626-574-5100","626-446-7410","037","Mostly career",,"https://www.ci.arcadia.ca.us/home/index.asp?page=662","3","51","5","0","5","4","Yes"
"12140","Arcata Fire Protection District","2149 Central AVE",,"McKinleyville","CA","95519-3644","2149 Central AVE",,,"McKinleyville","CA","95519-3644","707-825-2000",,"023","Mostly career",,"https://www.arcatafire.org/","3","22","12","0","3","14","No"
"27005","Aromas Tri-County Fire Protection District","2221 Garden RD",,"Monterey","CA","93940-5317","2221 Garden RD",,,"Monterey","CA","93940-5317","831-333-4600","831-333-2660","053","Career",,"https://www.atcfire.org/","1","7","0","0","0","0","Yes"
"36025","Arrowbear Lake Fire Department","33045 Highway 18",,"Arrowbear Lake","CA","92382",,,"PO Box 4045","Arrowbear Lake","CA","92832-4045","909-867-3479","909-867-4736","059","Mostly volunteer",,,"1","2","0","16","0","0","Yes"
"11005","Artois Fire Protection District","740 Main ST",,"Artois","CA","95913",,,"PO Box 158","Artois","CA","95913-0158","530-934-5351",,"021","Volunteer",,,"1","0","20","0","0","0","Yes"
"40010","Atascadero Fire & Emergency Services","6005 Lewis AVE",,"Atascadero","CA","93422-4224","6005 Lewis AVE",,,"Atascadero","CA","93422-4224","805-461-5070","805-466-5091","079","Career",,"https://www.atascadero.org/","2","21","0","0","1","0","Yes"
"40490","Atascadero State Hospital Fire Department","10333 El Camino Real","PO Box 7006","Atascadero","CA","93423",,,"PO Box 7006","Atascadero","CA","93423-7006","805-468-2501","805-468-2011","079","Mostly career",,,"1","7","0","6","0","0","Yes"
"24005","Atwater Fire Department","699 Broadway AVE",,"Atwater","CA","95301-4421","699 Broadway AVE",,,"Atwater","CA","95301-4421","209-357-6355","209-357-6357","047","Mostly career",,,"2","11","8","0","0","0","Yes"
"10135","Auberry Volunteer Fire Department","33051 Powerhouse RD",,"Auberry","CA","93602",,,"PO Box 191","Auberry","CA","93602","559-855-2777",,"019","Volunteer",,,"1","0","12","0","0","6",
"31010","Auburn Fire Department","1225 Lincoln Way RM 8",,"Auburn","CA","95603-5004","1225 Lincoln Way RM 8",,,"Auburn","CA","95603-5004","530-823-4211","530-823-4512","061","Mostly career",,"https://www.auburn.ca.gov/","3","22","6","0","0","1","Yes"
"19015","Avalon Fire Department","420 Avalon Canyon RD",,"Avalon","CA","90704",,,"PO Box 707","Avalon","CA","90704-0707","310-510-0203","310-510-0104","037","Mostly volunteer",,"http://www.cityofavalon.com/content/3182/3207/default.aspx","1","10","30","30","0","0","Yes"
"16002","Avenal State Prison Fire Department","1 Kings Way",,"Avenal","CA","93204","1 Kings Way",,,"Avenal","CA","93204-9708","559-386-6089","559-386-7457","031","Career",,,"1","15","0","0","0","0","Yes"
"40015","Avila Beach Fire Department","100 San Luis  ST","PO Box 309","Avila Beach","CA","93424",,,"PO Box 309","Avila Beach","CA","93424-0309","805-595-2664",,"079","Volunteer",,,"1","0","0","0","0","0",
"15005","Bakersfield Fire Department","2101 H ST",,"Bakersfield","CA","93301-3921","2101 H ST",,,"Bakersfield","CA","93301-3921","661-326-3911","661-852-2170","029","Mostly career",,"https://www.bakersfieldfire.us/","14","186","30","0","25","0","Yes"
