PRISM Time Series Data,,,,,,,,,,
Locations: 58,,,,,,,,,,
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax",,,,,,,,,,
Spatial resolution: 4km,,,,,,,,,,
Period: 2013-01 - 2020-11,,,,,,,,,,
Dataset: AN81m,,,,,,,,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,,,,,,,,
Grid Cell Interpolation: Off,,,,,,,,,,
Time series generated: 2020-Dec-05,,,,,,,,,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,,,,,,,,,
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
Alameda,-121.9133,37.6481,587,2013-01,0.65,34.2,44.5,54.8,0.74,7.91
Alameda,-121.9133,37.6481,587,2013-02,0.55,36.1,47.9,59.8,0.72,10.33
Alameda,-121.9133,37.6481,587,2013-03,0.57,43,54.7,66.4,1.09,13.14
Alameda,-121.9133,37.6481,587,2013-04,0.93,46.8,59.8,72.8,1.77,18.9
Alameda,-121.9133,37.6481,587,2013-05,0.19,50.4,62.3,74.2,2.46,19.86
Alameda,-121.9133,37.6481,587,2013-06,0.05,54.1,67.8,81.5,2.24,25.6
Alameda,-121.9133,37.6481,587,2013-07,0,55.9,71.5,87,2.23,31.91
Alameda,-121.9133,37.6481,587,2013-08,0,56,69.3,82.5,1.71,24.8
Alameda,-121.9133,37.6481,587,2013-09,0.66,55.1,67.7,80.3,2.26,23.7
Alameda,-121.9133,37.6481,587,2013-10,0,47.2,61.6,76,2.57,22.74
Alameda,-121.9133,37.6481,587,2013-11,1.22,43.3,55.1,67,1.55,14.69
Alameda,-121.9133,37.6481,587,2013-12,0.76,34.7,46.6,58.4,1.41,11.42
Alameda,-121.9133,37.6481,587,2014-01,0.1,40,52.4,64.8,1.99,14.35
Alameda,-121.9133,37.6481,587,2014-02,4.38,42.6,52,61.3,0.75,9.67
Alameda,-121.9133,37.6481,587,2014-03,1.83,45.6,56.4,67.2,1.61,13.99
Alameda,-121.9133,37.6481,587,2014-04,1.89,46,58,70.1,1.31,16.47
Alameda,-121.9133,37.6481,587,2014-05,0.01,51.8,64.4,77.1,3.3,23.57
Alameda,-121.9133,37.6481,587,2014-06,0,53,67.5,81.9,2.36,27.27
Alameda,-121.9133,37.6481,587,2014-07,0,58.4,72.7,86.9,3.34,31.95
Alameda,-121.9133,37.6481,587,2014-08,0,57.1,70.8,84.5,1.7,27.18
Alameda,-121.9133,37.6481,587,2014-09,0.34,57,70.3,83.6,2.15,26.85
Alameda,-121.9133,37.6481,587,2014-10,0.27,52.7,66.7,80.8,2.77,27.38
Alameda,-121.9133,37.6481,587,2014-11,1.79,46.3,56.5,66.7,1.11,12.53
Alameda,-121.9133,37.6481,587,2014-12,10.61,46.5,53.1,59.7,0.72,6.58
